Observation,y,x
1,18640.00,1.00
2,38275.00,1.40
3,2450.30,2.00
4,21969.00,2.14
5,9573.70,2.21
6,13751.00,3.61
7,38947.00,3.68
8,17921.00,4.01
9,5050.70,4.28
10,4519.00,4.41
11,6781.10,4.54
12,8246.20,4.81
13,5166.40,4.94
14,7762.40,5.21
15,11081.00,5.35
16,7188.00,5.68
17,13753.00,5.81
18,7492.40,5.81
19,3620.90,5.88
20,6390.60,6.08
21,5485.80,6.75
22,3416.50,6.88
23,8194.70,6.95
24,5091.90,6.95
25,1183.80,7.08
26,4157.90,7.42
27,2158.30,7.48
28,12428.00,7.62
29,6788.50,7.75
30,3277.40,7.75
31,3258.20,7.95
32,5491.30,8.08
33,865.02,11.25
34,340.69,13.25
35,507.03,15.50
36,323.67,18.00
37,108.36,19.00
38,805.66,23.00
39,156.84,26.25
